"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1819522350448083282","Fri Aug 02 23:55:08 +0000 2024","1"," ss azarine ini bikin kucel ga ya? kalau iya saranin ss lain yang ga kucel pengganti ini buat oily skin (kantong pelajar prenli yh gusy) https://t.co/zmkZ5EZ10X","1819522350448083282","https://pbs.twimg.com/media/GUA971GWUAEL3F9.jpg","","in","","0","22","0","https://x.com/baseconvo/status/1819522350448083282","3543491593","baseconvo"
"1819282637896532132","Fri Aug 02 22:49:44 +0000 2024","0","@aceaurs Azarine kak anak ny temen ku usia remaja ngikut aku jg pake ss azarine aja katanya uda mulai berkurang jerawat nya juga","1819505893861740780","","aceaurs","in","","0","1","0","https://x.com/yayangke/status/1819505893861740780","1199857044","yayangke"
"1819436611425419435","Fri Aug 02 18:14:26 +0000 2024","0","Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Azarine Micellar Water 90 ml | Cleanser Wajah Pembersih Make Up l https://t.co/S7dWQlFlsp https://t.co/MLl991NuQV","1819436611425419435","https://pbs.twimg.com/media/GT_v8vNXQAAiLXG.jpg","","in","Indonesia","0","0","0","https://x.com/disc_beauty/status/1819436611425419435","1196575943822737408","disc_beauty"
"1819434300607173043","Fri Aug 02 18:05:15 +0000 2024","0","Kode Kecantikan ️ 3 Agu ⏰️ 00:00 sampai habis Diskon 20% s/d 100rb minbel 30rb Kode: BEAUTY03 Khusus produk Kecantikan &amp; Perawatan Rekomendasi toko-toko (diurutkan secara abjad): Alchemist Fragrance https://t.co/wrf9ITbRAN Azarine https://t.co/1JvDaXVOzk Barenbliss https://t.co/aBa0UARLds","1819434300607173043","https://pbs.twimg.com/media/GT_t2rubsAAdf63.jpg","","in","Indonesia","1","0","0","https://x.com/AkulahPara/status/1819434300607173043","1640451055111778310","AkulahPara"
"1819247269960691742","Fri Aug 02 17:55:38 +0000 2024","0","@JY15O1 NAHHH BEGO NYA AKU PAKE AZARINE JUGA INI GA HABIS-HABIS KARENA JARANG MAKE mau ganti ke facetology atau ke physical sunscreen gitu sih rip asli","1819431881458569711","","juyeonagreg","in","","0","0","0","https://x.com/calovessa/status/1819431881458569711","1431002080500543489","calovessa"
"1819247269960691742","Fri Aug 02 17:54:50 +0000 2024","0","@JY15O1 iyaaa bawah aja kalau ga cocok sama azarine sayang dia juga chemical rada percuma gitu ga duduk di atas kulit kamu ","1819431678739468685","","juyeonagreg","in","","0","0","0","https://x.com/calovessa/status/1819431678739468685","1431002080500543489","calovessa"
"1819428883843948874","Fri Aug 02 17:43:43 +0000 2024","6","mau CERITAAA HEHE. jastip social chic day 1 hari ini RAME YANG JASTIP DI AKU!!percayalah aku sampe venue 2PM dan baru selesai jastip 9PM sampe bayar parkir mobil 41k cui paling banyak nyari ikiarum azarine arcell thank you so much antusiasnya!! day 2 sabtu aku jastip ke https://t.co/KktZkVMdyD","1819428883843948874","https://pbs.twimg.com/media/GT_o68CboAAbeys.jpg","","in","","0","1","0","https://x.com/lijeuni/status/1819428883843948874","1139691848467750912","lijeuni"
"1819420917669470333","Fri Aug 02 17:12:04 +0000 2024","6","BEAUTY03 - Diskon 20% s.d 100k minimal beli 30k. - Berlaku hanya untuk kategori kecantikan &amp; perawatan tubuh. Rekomendasi toko: - Avoskin https://t.co/aZJpLagTut - Azarine Cosmetics https://t.co/7ourVx9mdq - Bioderma Official Store https://t.co/W8N3kTs6W7 - d'Alba Indonesia https://t.co/GN6uuLVlcf","1819420917669470333","https://pbs.twimg.com/media/GT_hrhPa4AAk7oD.jpg","","in","Earth","1","0","0","https://x.com/re_aruni/status/1819420917669470333","82032251","re_aruni"
"1819419568110182733","Fri Aug 02 17:06:42 +0000 2024","0","Temukan [GEL] Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ 50ml [LOLOS UJI INVIVO INVITRO] BEST SELLER sunscreen kulit berminyak berjerawat seharga Rp36.650. Dapatkan sekarang juga di Shopee! https://t.co/B9ux5LqRGj","1819419568110182733","","","in","Indonesia","0","0","0","https://x.com/AkulahPara/status/1819419568110182733","1640451055111778310","AkulahPara"
"1819418999513587902","Fri Aug 02 17:04:27 +0000 2024","0","Temukan [GEL] Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ 50ml [LOLOS UJI INVIVO INVITRO] BEST SELLER sunscreen kulit berminyak berjerawat seharga Rp36.650. Dapatkan sekarang juga di Shopee! https://t.co/cm1PYR832q https://t.co/fAAGxqQFXN","1819418999513587902","https://pbs.twimg.com/media/GT_f7kEb0AAJQj2.jpg","","in","Dunia Maya","0","1","0","https://x.com/i_m_mortal_/status/1819418999513587902","1672464836","i_m_mortal_"
